ra_deg	dec_deg	v_mag	b_v
28.59886	63.67010	3.35	-0.150
28.66004	20.80804	2.64	0.165
28.72410	40.70203	6.25	1.262
28.73388	-67.64730	4.68	0.931
28.74025	37.12829	6.28	1.169
28.83184	-60.31248	6.43	0.409
28.94368	-60.86098	6.07	0.356
28.96062	-78.34855	6.15	0.448
28.96267	23.57732	5.76	1.185
28.97430	1.84998	6.01	0.549
28.97700	37.27779	5.89	1.599
28.98947	-51.60890	3.69	0.844
29.00011	68.68524	4.97	-0.084
29.03902	37.25183	5.69	1.060
29.03920	-49.83645	6.37	-0.081
29.16749	-22.52678	4.92	1.434
29.24994	-51.76624	6.10	0.487
29.29003	-10.24243	6.42	0.817
29.29200	-47.38528	4.82	0.864
29.33773	17.81753	5.09	0.921
29.43227	27.80438	5.84	1.576
29.47223	-65.42470	6.36	0.906
29.48215	23.59606	4.79	0.290
29.49682	47.09552	6.48	1.203
29.61117	-33.06679	6.37	1.006
29.63847	61.69779	6.02	-0.042
29.63961	49.20435	5.70	1.005
29.69247	-61.56986	2.86	0.290
29.69166	-11.30096	6.46	1.128
29.85786	12.29488	6.09	0.186
29.89868	21.05857	5.89	1.031
29.90849	64.62160	5.29	0.002
29.91173	-42.03053	5.57	1.052
29.92137	-66.06656	6.09	1.176
29.94250	-20.82454	5.43	1.640
30.00128	-21.07783	3.99	1.554
30.03817	3.09701	5.89	0.610
30.11176	-8.52387	5.43	1.391
30.31135	-30.00183	5.34	0.883
30.42657	-44.71351	5.15	1.471
30.48939	70.90702	4.49	0.164
30.51175	2.76376	3.82	0.024
30.57545	54.48754	4.99	-0.071
30.61777	-29.66564	6.40	0.135
30.64616	13.47672	5.97	1.584
30.71557	-23.88663	6.30	1.340
30.71865	64.90147	6.00	0.029
30.73761	77.91626	6.04	1.107
30.74148	33.28414	5.50	0.029
30.74404	-15.30593	5.87	0.966
30.75078	64.39002	5.59	0.325
30.79354	73.85057	6.12	0.162
30.79854	0.12851	5.42	0.146
30.85877	72.42129	3.95	-0.002
30.91393	25.93547	5.64	0.537
30.91870	-4.10352	5.61	1.589
30.92753	18.25324	6.24	1.424
30.95071	-0.34025	5.96	0.851
30.97480	42.32972	2.10	1.370
31.05195	-11.85977	6.43	1.498
31.12266	-29.29682	4.68	-0.156
31.14633	-54.88169	6.45	0.386
31.21254	7.73566	6.44	1.114
31.28092	77.28134	5.27	0.345
31.38145	76.11506	5.22	0.954
31.55110	8.24811	6.27	1.636
31.62212	0.03538	6.29	0.897
31.64136	22.64832	5.03	0.121
31.70515	25.70455	6.01	-0.030
31.71689	-19.13887	6.39	1.143
31.79336	23.46242	2.01	1.151
32.12192	37.85908	4.78	0.120
32.13983	44.45943	6.38	0.965
32.16908	58.42360	5.66	0.595
32.19025	-17.77916	6.07	1.661
32.28872	-43.51660	5.84	1.197
32.34629	17.22420	6.40	0.471
32.35557	25.93989	4.98	0.339
32.35547	81.29595	6.05	0.118
32.38595	34.98730	3.00	0.140
32.39501	-24.34579	6.48	0.289
32.45196	-40.86650	6.49	0.430
32.52005	-43.81557	6.32	0.899
32.53230	53.84309	6.31	0.948
32.60806	-50.82372	6.12	0.812
32.65665	19.50034	5.68	1.641
32.72012	39.03953	6.09	-0.054
32.80023	25.93694	6.01	1.365
32.83783	8.56980	5.64	0.569
32.84261	-10.05216	6.00	0.418
32.85426	31.52640	6.24	0.112
32.87164	57.64554	6.38	0.298
32.89931	-1.82543	5.94	0.967
33.06570	2.74555	6.49	1.039
33.09283	30.30307	4.94	0.770
33.15641	24.16778	5.96	1.366
33.19809	-2.39364	5.65	0.546
33.20036	21.21099	5.23	0.457
33.20796	79.69154	6.46	0.240
33.22696	-30.72383	5.27	-0.013
33.24998	8.84672	4.36	0.878
33.25411	-21.00014	5.86	1.006
33.26377	15.27986	5.72	1.551
33.30552	44.23165	4.84	1.476
33.33810	74.02772	6.25	0.915
33.40143	51.06582	5.31	0.926
33.42338	58.56059	6.43	0.554
33.47314	-9.06463	6.43	1.415
33.51024	47.48424	6.05	0.406
33.56059	-67.84144	5.57	1.556
33.62122	66.52443	6.05	0.641
33.63311	-41.16676	5.91	0.965
33.65826	28.69118	6.35	0.957
33.86927	-67.74637	5.67	1.306
33.92824	25.04304	5.57	0.520
33.94188	25.78294	5.79	0.439
33.98452	33.35890	5.25	-0.004
33.99055	47.81194	6.37	1.029
34.12744	-51.51216	3.56	-0.120
34.18989	83.56141	6.45	0.951
34.21548	57.05525	6.48	0.281
34.24602	-6.42212	5.51	0.962
34.26346	34.22423	4.84	0.607
34.32861	33.84719	4.03	0.019
34.49953	57.89982	5.75	1.175
34.50600	1.75780	5.60	0.588
34.51910	57.51632	5.99	1.039
34.53140	19.90116	5.58	0.011
34.73747	28.64267	5.29	0.037
34.74144	23.16782	6.45	0.376
34.74377	-25.94569	6.33	0.724
34.79510	46.47226	6.21	0.164
34.81998	47.37997	5.31	0.006
34.83664	-2.97764	6.47	0.966
34.84449	48.95546	6.44	0.427
34.85319	-41.84837	6.36	1.162
34.97613	-55.94480	5.81	1.570
35.17297	47.31080	6.17	-0.094
35.24253	50.15147	5.57	-0.089
35.43726	-68.65942	4.08	0.034
35.48098	57.24292	6.40	0.569
35.48595	0.39568	5.29	1.648
35.50638	-10.77753	5.43	0.364
35.52076	-17.66217	5.89	1.231
35.54896	-43.19981	6.30	0.991
35.55165	-0.88485	5.42	0.335
35.58931	55.84565	5.16	0.369
35.63561	-23.81633	5.19	0.608
35.70960	41.39630	5.81	0.289
35.71794	-73.64579	5.99	1.088
35.72781	-51.09213	5.90	0.213
35.74012	-18.35498	6.22	0.942
35.77749	-37.57614	6.47	1.592
35.96560	55.36486	6.29	0.845
36.08382	-25.84746	6.45	1.321
36.10382	50.00655	5.19	0.979
36.14118	-40.84046	6.17	0.653
36.20440	10.61056	5.48	-0.098
36.22463	-60.31195	5.36	0.395
36.24329	-2.78003	6.34	-0.011
36.31679	56.60982	6.25	0.249
36.36023	-66.49403	6.39	1.511
36.40593	50.27863	4.73	1.532
36.48752	-12.29048	4.88	-0.027
36.50146	-15.34125	5.88	0.116
36.64674	-20.04262	5.89	1.247
36.74634	-47.70384	4.24	-0.136
36.78016	27.01239	6.14	1.461
36.84745	10.19833	6.45	0.450
36.86572	31.80128	5.55	1.114
36.96574	50.56997	6.16	0.435
36.99970	1.96085	6.45	0.971
37.00710	-33.81104	5.13	0.089
37.01827	-64.29977	6.35	-0.025
37.03976	8.46005	4.30	-0.053
37.04159	29.66933	5.29	0.311
37.14763	-31.10244	6.11	1.106
37.20206	29.93176	5.89	0.591
