ra_deg	dec_deg	v_mag	b_v
166.91544	23.32376	6.48	0.164
167.06574	-29.97249	6.47	0.029
167.14166	-61.94717	5.11	0.195
167.14746	-58.97504	3.93	1.225
167.18333	-28.08067	5.43	0.069
167.20454	24.65846	5.70	0.081
167.32950	36.30938	5.71	1.400
167.41042	43.20774	5.89	1.564
167.41587	44.49849	3.00	1.144
167.41578	67.21021	6.07	0.225
167.47247	-32.36753	5.79	0.027
167.87309	-71.43619	6.34	1.373
167.91454	-22.82585	4.46	0.025
167.93232	14.40015	6.30	0.209
167.99100	-26.80611	6.43	0.924
168.01475	-58.42336	6.24	1.495
168.04251	-46.26676	6.27	0.155
168.04558	68.27187	6.40	0.127
168.06163	-32.43379	6.35	1.683
168.12655	-18.49986	6.11	-0.004
168.13479	35.81408	6.41	0.600
168.13774	-49.10100	5.37	0.175
168.14500	-21.74934	6.39	1.381
168.15005	-60.31763	4.59	0.541
168.18837	-64.16977	5.22	-0.082
168.23632	-49.73609	6.12	1.055
168.31119	-44.37222	5.77	1.661
168.37826	-59.61932	5.74	-0.106
168.41414	-53.23181	5.75	1.309
168.41705	41.08884	6.33	1.150
168.43980	-0.06950	5.40	-0.020
168.50764	8.06070	5.79	1.128
168.52709	20.52372	2.56	0.128
168.56002	15.42957	3.33	-0.003
168.72550	-43.73370	6.22	1.606
168.80095	23.09550	4.56	1.657
168.92812	-57.35588	6.42	0.098
168.96625	13.30758	5.31	1.189
169.11593	-45.88001	6.30	0.403
169.16542	-3.65160	4.45	0.210
169.17437	49.47625	5.88	1.102
169.24241	-7.13469	6.11	0.211
169.30004	-38.01437	6.24	0.105
169.30969	-41.93433	6.46	0.015
169.32250	2.01056	5.18	1.511
169.32935	-67.82352	6.06	1.753
169.41193	-34.73735	6.44	0.408
169.61974	33.09431	3.49	1.400
169.64331	-79.66865	6.35	0.266
169.72900	1.65039	5.90	1.040
169.78292	38.18556	4.76	0.113
169.81848	-64.58249	5.99	0.471
169.83520	-14.77854	3.56	1.112
169.90219	-75.14245	6.26	-0.016
169.96147	-72.95829	6.46	0.004
170.01715	-71.99434	6.41	0.019
170.22406	67.10073	6.20	1.018
170.25169	-54.49102	3.90	-0.157
170.28414	6.02932	4.05	-0.058
170.45537	57.07486	6.43	0.161
170.48707	-77.60837	6.43	0.202
170.59629	-44.64592	6.10	0.926
170.70660	43.48270	4.99	0.998
170.71352	64.33051	6.02	0.085
170.78388	-56.77935	5.82	-0.004
170.80285	-36.16477	5.00	1.464
170.82480	0.13205	6.05	1.464
170.83917	-64.95471	5.09	-0.061
170.84118	-18.77997	5.08	0.439
170.98105	10.52951	4.00	0.423
171.00970	1.40777	5.39	0.938
171.04636	-72.25661	5.55	0.017
171.09189	-42.66910	6.13	-0.175
171.15246	-10.85932	4.81	1.556
171.22052	-17.68401	4.06	0.216
171.24553	11.43029	5.80	1.376
171.37272	-36.06306	5.21	0.979
171.38791	-37.74758	5.87	1.503
171.40156	16.45654	5.58	0.390
171.42978	-63.97247	5.18	0.495
171.45856	3.86011	6.35	0.345
171.48796	55.85046	5.73	0.988
171.60649	33.45061	6.33	0.454
171.64757	-61.11517	5.22	-0.077
171.68884	3.01310	6.49	0.778
171.69694	-53.15992	5.80	0.517
171.78965	-12.35675	5.93	0.490
171.97379	-1.69995	6.23	1.037
171.98433	2.85627	4.95	1.000
171.99447	-35.32885	6.44	1.614
172.07672	-72.47398	6.09	0.101
172.14617	-42.67420	5.14	-0.028
172.26717	39.33697	5.30	0.019
172.26901	61.77837	5.83	0.382
172.31307	-63.55394	6.45	0.320
172.41090	-24.46401	5.77	0.067
172.42436	15.41327	5.74	1.371
172.43152	56.73757	6.29	0.157
172.57872	-3.00350	4.77	1.529
172.60344	46.65753	6.30	1.265
172.62096	18.40980	5.54	1.056
172.62971	43.17324	5.94	0.524
172.72062	47.92892	6.40	0.879
172.81269	-61.27846	6.28	0.473
172.85092	69.33108	3.82	1.613
172.93727	14.36451	6.27	0.570
172.94195	-59.44206	5.07	1.026
172.94813	-20.77647	6.24	0.537
172.95333	-59.51565	5.12	0.432
172.96056	81.12726	6.12	0.264
173.06835	-29.26102	4.93	0.540
173.08332	-66.96182	5.89	1.136
173.08642	61.08252	5.46	0.515
173.09701	-26.74681	6.15	1.670
173.19807	-7.82752	5.94	1.380
173.20034	-40.43619	5.64	1.578
173.22554	-31.08723	5.13	1.581
173.25048	-31.85763	3.54	0.947
173.31176	-16.28038	6.05	0.590
173.40144	2.49903	6.49	1.601
173.40500	-40.58664	5.39	0.117
173.48452	36.81561	6.38	1.057
173.59146	3.06017	5.76	0.480
173.62286	-32.83134	5.96	0.811
173.67705	16.79691	5.95	-0.156
173.69024	-54.26409	4.62	-0.077
173.73688	-49.13649	5.50	1.041
173.74544	-4.36129	6.43	1.167
173.76564	20.44155	6.45	1.010
173.77045	54.78542	5.63	1.032
173.80534	-47.37258	5.64	1.682
173.92640	-61.28787	6.23	0.131
173.94535	-63.01984	3.11	-0.044
173.98160	-47.64164	5.26	0.257
174.01165	69.32295	5.19	0.974
174.07481	27.78135	5.80	0.248
174.09319	-61.05243	5.84	-0.102
174.14560	-33.57006	5.71	1.020
174.16968	-37.23719	6.30	0.062
174.17047	-9.80225	4.70	-0.073
174.23721	-0.82375	4.30	0.983
174.25219	-61.28344	5.14	1.105
174.25507	-32.98818	6.32	0.439
174.31515	-75.89654	5.64	0.362
174.39163	-47.74731	5.46	1.230
174.42632	77.59570	6.49	1.610
174.45158	-67.62038	5.94	1.013
174.47085	50.61821	6.14	1.068
174.53040	-61.82656	5.15	-0.040
174.54096	8.88379	6.18	1.081
174.58484	-63.37275	6.46	0.043
174.58571	43.62543	5.56	0.348
174.60028	-2.43590	6.22	1.119
174.61503	8.13430	5.24	1.499
174.63468	33.62583	6.29	1.325
174.63964	46.83421	6.09	0.401
174.66674	-13.20194	5.48	0.520
174.68709	45.10842	6.29	0.566
174.70474	64.34697	6.49	0.154
174.75184	-24.72109	6.40	0.821
174.87330	-65.39777	5.01	0.804
174.95973	-16.62023	6.17	1.579
174.96301	-14.46853	6.21	-0.007
175.05329	-34.74466	4.70	-0.070
175.11429	57.97040	6.35	-0.092
175.15418	-62.56810	6.32	0.029
175.17701	-53.96861	5.95	1.670
175.19611	21.35273	5.26	0.984
175.22347	-62.09010	4.93	1.111
175.25545	-83.09994	6.32	1.080
175.26256	34.20164	5.31	0.723
175.28500	-29.19627	6.44	0.651
175.33246	-43.09567	5.54	0.044
175.39275	31.74606	5.73	0.440
175.43124	55.17201	6.28	1.491
175.43312	-32.49940	5.20	1.475
175.51470	-20.29417	6.21	0.949
175.56216	-75.22732	6.48	0.528
175.61817	66.74491	5.32	1.267
175.72889	-79.30639	6.38	0.894
175.86328	-37.19016	5.98	1.449
175.87997	-62.48940	5.00	0.784
175.97017	-62.87828	6.10	0.063
175.97967	-6.67716	6.05	0.960
176.05485	25.21833	6.02	1.533
176.19073	-18.35067	4.71	0.958
176.30265	-49.06984	6.26	1.174
176.32100	8.25812	4.84	0.174
176.40175	-66.72876	3.63	0.160
176.43320	-45.69013	5.28	-0.118
176.46483	6.52938	4.04	1.501
176.51256	47.77941	3.69	1.181
176.62843	-61.17840	4.11	0.895
176.62947	-40.50035	4.89	0.664
176.73176	55.62819	5.27	1.276
176.77938	-35.90686	6.16	0.952
176.81587	-30.28651	6.48	0.681
176.82976	-57.69650	5.42	1.664
176.97875	8.24589	5.31	0.038
176.99640	20.21893	4.50	0.547
177.06056	-66.81491	4.75	1.522
177.09786	-10.31310	6.24	0.585
177.16129	14.28421	5.90	0.303
177.18784	-26.74978	5.10	1.594
177.25534	-0.31867	6.15	0.518
177.26491	14.57206	2.14	0.090
177.31162	16.24288	6.05	0.278
177.42110	-63.78848	4.30	-0.149
177.42381	34.93176	5.73	0.467
177.48589	-70.22579	4.98	1.360
177.58168	-15.86367	6.13	0.947
177.61366	-62.64938	5.68	0.233
177.65493	-27.27794	6.48	0.980
177.67383	1.76472	3.59	0.518
177.73059	12.27904	6.37	0.294
177.75930	-5.33333	5.62	1.058
177.78622	-45.17347	4.47	1.283
177.78963	33.37501	6.25	0.345
177.84124	-12.18781	6.34	0.410
177.92337	-30.83481	5.85	0.554
177.96344	-65.20591	4.89	-0.123
178.04283	-56.98774	5.56	0.069
178.22717	-33.90812	4.29	-0.100
178.24487	37.71868	6.42	0.754
178.36171	-35.06665	6.17	0.089
178.45770	53.69476	2.41	0.044
178.45949	0.55211	6.31	0.207
178.54792	-57.41020	6.05	0.050
178.60756	-37.74893	6.46	0.528
178.67725	-25.71389	5.26	0.883
178.68600	-66.37620	6.38	0.406
178.75005	-63.27918	5.89	0.210
178.76306	8.44394	5.58	0.937
178.80857	36.75638	6.47	1.581
178.91722	-28.47710	5.93	1.499
178.91889	15.64682	5.53	0.116
178.97821	-39.68952	6.13	1.010
178.99340	56.59856	5.83	1.101
179.00397	-17.15083	5.17	-0.022
179.18298	-47.07238	6.26	0.407
179.22182	61.54921	6.22	0.955
179.26561	-33.31546	6.20	-0.044
179.41670	-62.44875	5.59	-0.152
179.52989	32.27391	6.42	0.331
179.56344	-56.31731	5.44	-0.062
179.69859	-64.33956	5.59	0.174
179.72656	-25.90886	6.42	0.038
179.76391	0.53068	6.18	1.257
179.78904	-10.47590	6.49	1.450
179.79450	-45.83222	6.36	-0.081
179.79526	-51.69676	6.04	1.277
179.82307	33.16700	5.95	1.153
179.85674	-62.83095	6.34	0.317
179.90656	-78.22184	4.88	-0.054
179.98713	3.65520	5.36	-0.001
179.98907	34.03475	6.49	0.243
180.07751	80.85319	6.21	1.610
180.17593	-21.83750	6.28	1.220
180.18521	-10.44601	5.54	0.760
180.21316	-19.65898	5.28	-0.192
180.21829	6.61432	4.65	0.122
180.25724	-1.76817	6.32	1.204
180.37164	-57.50378	6.16	-0.004
180.41447	36.04209	5.59	1.019
180.52828	43.04560	5.22	0.283
180.58435	-85.63176	6.05	1.290
180.61863	-71.48898	6.41	1.163
180.65705	-69.19229	5.89	-0.080
180.71525	-7.68362	6.24	1.492
180.75625	-63.31293	4.32	0.280
180.91488	-42.43406	5.15	0.417
180.93518	5.55775	6.39	0.476
180.93544	-74.21410	6.44	1.198
181.06916	21.45915	5.89	0.248
181.06960	-51.47252	6.48	-0.046
181.08006	-63.16571	4.72	-0.081
181.11713	85.58713	6.27	0.560
181.16202	-68.32891	5.34	-0.012
181.18854	-59.25329	6.30	-0.034
181.19362	-76.51906	5.04	1.491
181.23840	-60.96825	5.95	1.691
181.30225	8.73299	4.12	0.967
181.31299	76.90573	5.78	1.029
181.41542	62.93312	6.14	1.178
181.47341	-65.54688	6.30	0.152
181.48611	-35.69393	6.23	-0.073
181.49923	-3.13159	6.37	0.997
181.52165	-32.96123	6.49	0.623
181.58302	-68.65140	6.23	1.237
181.59588	-65.70945	5.95	0.613
181.72041	-64.61373	4.14	0.353
181.95781	-75.36702	5.17	1.278
182.02177	-50.66128	4.46	-0.163
182.06130	-48.69249	5.34	-0.010
182.08958	-50.72243	2.58	-0.128
182.10305	-60.84713	6.22	1.733
182.10340	-24.72888	4.02	0.334
182.22417	-44.32599	5.75	0.240
182.22745	-41.23160	5.51	-0.097
182.42212	1.89789	5.95	1.120
182.44614	74.66137	6.34	0.511
182.51062	-34.70474	6.16	0.030
182.51424	5.80701	5.72	0.352
182.53117	-22.61977	3.02	1.326
182.63179	16.80927	6.40	0.070
182.64090	-37.87035	6.07	0.190
182.69207	27.28151	6.01	0.123
182.74994	81.70983	6.00	1.618
182.75509	-68.26097	6.48	1.352
182.76600	-23.60242	5.45	0.055
182.77128	-61.27742	6.08	0.398
182.88119	-51.35933	6.23	0.816
182.91296	-52.36846	3.97	-0.156
182.93711	57.05441	6.34	1.505
182.96323	25.87028	5.66	1.401
183.00424	28.53631	6.47	0.428
183.03871	20.54206	5.60	0.961
183.04976	77.61624	5.14	0.358
183.09158	-62.95077	5.91	0.253
183.19591	-70.15179	6.05	1.780
183.30393	-34.12527	6.34	1.449
183.35432	-38.92919	5.77	-0.144
183.35808	10.26234	5.85	0.262
183.40336	-33.79292	6.34	0.071
183.48526	-78.57393	6.34	1.234
183.51124	-45.72392	5.31	1.400
183.57052	-64.40852	6.20	0.075
183.68087	53.43463	6.18	1.061
183.74826	-20.84422	5.82	1.052
183.78538	70.20001	5.72	1.179
183.78632	-58.74893	2.79	-0.193
183.79399	-10.31240	6.11	0.470
183.83448	87.70012	6.27	0.346
183.85650	57.03262	3.32	0.077
183.87687	-41.91328	6.24	1.002
183.92288	72.55120	6.29	1.145
183.95154	-17.54193	2.58	-0.107
184.00078	14.89907	5.09	0.068
184.03146	40.66018	5.69	1.586
184.08558	23.94541	4.93	0.957
184.09922	-72.61450	6.21	-0.006
184.12557	33.06153	4.99	1.140
184.21391	86.43582	6.33	0.437
184.26389	-16.69374	6.05	0.113
184.27630	-65.69296	6.06	0.021
184.37333	53.19133	5.80	1.330
184.37740	28.93719	5.71	0.160
184.39282	-67.96074	4.06	1.603
184.43442	15.14470	6.36	1.384
184.44694	-36.09398	6.15	0.008
184.58677	-79.31224	4.24	-0.123
184.60937	-64.00307	4.06	-0.168
184.63175	30.24905	6.23	0.310
184.66799	-0.78718	5.90	0.168
184.70826	75.16056	5.47	0.054
184.74899	-55.14300	5.01	1.600
184.75844	26.00835	6.44	0.180
184.82997	23.03467	6.26	0.177
184.87303	28.15692	6.38	0.523
184.95296	48.98415	5.28	1.623
184.97649	-0.66680	3.89	0.026
185.04487	-22.17570	5.94	0.824
185.07397	26.00188	6.16	0.306
185.08199	26.61948	5.52	1.091
185.08742	3.31257	4.97	1.172
185.11760	-65.84266	6.20	-0.041
185.14017	-22.21590	5.20	-0.090
185.17240	27.05455	6.32	0.394
185.17927	17.79287	4.72	1.010
185.20298	15.54099	6.47	1.025
185.21201	57.86412	5.54	1.452
185.23214	-13.56572	5.14	1.048
185.34004	-60.40115	3.59	1.389
185.48437	47.18220	6.33	1.115
185.48928	-56.37439	5.91	1.533
185.53058	-67.52211	5.15	0.195
185.54512	24.77387	6.21	-0.012
185.55013	-68.30732	5.73	1.038
185.62630	25.84616	4.78	0.515
185.63350	5.30544	6.46	0.567
185.70596	-57.67613	5.38	-0.098
185.80787	-67.63155	6.36	0.887
185.81402	-4.97450	6.47	1.189
185.82861	-11.81212	6.48	1.640
185.83994	-24.84067	5.66	1.153
185.89758	-35.41268	5.32	-0.066
185.90309	-39.30236	6.39	0.285
185.93643	-38.91138	5.79	-0.064
185.94588	42.54274	6.03	0.366
185.94928	-30.33542	6.39	1.572
186.00623	51.56226	4.76	0.877
186.07718	26.09861	5.17	0.082
186.11168	25.58240	6.41	0.276
186.18633	-41.38429	6.24	1.169
186.26337	56.77783	5.82	1.622
186.27651	63.80278	6.31	0.919
186.28549	-42.51431	6.10	0.652
186.29902	-11.61059	5.95	0.043
186.31295	23.92620	6.03	1.094
186.32305	-65.76985	6.29	0.965
186.32671	-27.74900	6.09	1.272
186.34056	-35.18642	5.71	-0.066
186.40931	-86.15061	6.32	1.065
186.46224	39.01862	5.01	0.955
186.60027	27.26824	4.92	0.277
186.60079	71.92983	6.33	1.028
186.63233	-51.45064	4.82	-0.141
186.64957	-63.09909	0.77	-0.243
186.70059	-48.91319	6.25	0.674
186.71538	-32.83012	5.56	0.007
186.73447	28.26842	4.35	1.128
186.74707	26.82570	4.98	0.088
186.85345	-63.78899	6.02	0.052
186.87015	-58.31645	6.35	1.612
186.87025	-58.99176	5.38	1.543
186.89627	55.71272	5.68	1.582
186.92534	8.61034	6.36	0.935
186.95603	-16.63184	6.30	0.868
186.96478	-4.61528	6.23	0.430
187.00992	-50.23063	3.91	-0.192
187.08026	-64.34099	6.05	0.022
187.09360	-39.04117	5.45	-0.073
187.10702	-61.79484	6.21	1.253
187.13998	-56.40782	6.15	0.920
187.22794	25.91285	5.29	-0.056
187.36268	24.10893	5.47	0.445
187.43016	20.89611	5.68	0.093
187.46606	-16.51543	2.94	-0.012
187.47583	-56.52494	5.78	1.572
187.48885	58.40574	5.37	0.205
187.49120	-41.73590	6.00	1.515
187.51179	51.53563	6.21	0.536
187.51775	58.76777	6.07	0.988
187.51989	-13.39318	6.37	0.591
187.52774	69.20112	5.01	1.621
187.57269	-23.69642	5.63	1.670
187.70890	53.07661	6.20	0.568
187.75234	24.56717	5.47	0.056
187.79150	-57.11321	1.59	1.600
187.83923	7.60431	6.05	1.523
187.91134	-5.05259	6.19	1.041
187.91804	-59.42392	5.49	0.622
187.98381	-63.50584	5.96	0.263
188.01828	-32.53376	6.46	0.172
188.01761	-16.19601	4.30	0.388
188.04157	-73.00106	5.88	1.078
188.11673	-72.13299	3.84	-0.157
188.13669	-21.21212	6.41	1.110
188.14999	-13.85911	5.74	0.376
188.26200	10.29567	6.29	0.953
188.34271	-19.79255	6.26	0.304
188.37060	69.78824	3.85	-0.116
188.39258	24.28298	6.28	0.114
188.39275	-12.83020	5.58	0.861
188.41216	33.24758	5.42	1.011
188.43560	41.35748	4.24	0.588
188.44479	-9.45208	5.48	-0.035
188.44756	33.38467	6.24	1.051
188.49628	-49.90981	6.38	0.428
188.59681	-23.39676	2.65	0.893
188.67664	-44.67302	5.76	0.683
188.68339	70.02177	4.95	1.312
188.71284	22.62926	4.80	0.012
188.72686	-67.75689	6.11	1.514
188.78233	18.37706	5.03	1.152
188.78403	21.88138	5.86	1.242
188.87271	-61.84158	6.22	0.731
188.93972	-41.02194	5.12	0.224
188.99497	-20.52748	6.20	0.340
189.00430	-39.86951	5.78	0.003
189.19418	-50.33539	6.40	0.026
189.19731	-5.83190	5.88	0.072
189.24305	17.08954	5.70	1.436
189.29591	-69.13556	2.69	-0.176
189.42616	-27.13889	5.41	0.334
189.42568	-48.54130	3.85	0.049
189.51840	3.28244	6.33	0.000
189.59336	1.85466	5.68	1.592
189.68588	-18.25010	6.00	0.310
189.69282	40.87466	6.35	0.204
189.71816	-67.19305	6.22	0.007
189.75909	22.65950	6.39	1.096
189.76441	-30.42239	5.86	1.207
189.78046	21.06256	5.49	0.978
189.81073	-75.37059	6.46	0.098
189.81153	-7.99556	4.66	1.240
189.82025	35.95196	6.39	0.095
189.96887	-39.98730	4.63	-0.082
189.98272	-66.51114	6.26	-0.050
190.31647	-13.01390	5.17	0.432
190.34577	-46.14558	5.84	1.475
190.37933	-48.95989	2.20	-0.023
190.39129	62.71304	6.02	0.051
190.39330	10.42627	6.22	0.192
190.41518	-1.44937	2.74	0.368
190.45581	-19.75909	6.02	0.397
190.47107	10.23563	4.88	0.076
190.48570	-59.68582	4.91	-0.044
190.48799	6.80662	5.57	0.002
190.52094	-69.40755	6.31	0.750
190.64772	-48.81311	4.66	1.075
190.70733	-55.94700	6.06	-0.023
190.70944	-63.05862	5.27	0.195
190.76720	61.15542	6.39	1.268
190.78825	-56.17622	5.99	-0.074
190.85943	-40.17785	6.43	0.242
190.86800	-58.90274	6.41	1.092
190.90854	-1.57700	5.91	0.850
190.99445	-36.34915	6.38	-0.060
191.00221	-28.32396	5.46	1.346
191.10839	80.62102	6.33	0.160
191.11292	44.10300	6.34	0.469
191.24752	39.27892	5.95	0.557
191.25856	-68.83075	6.16	0.688
191.28261	45.44026	5.42	2.994
191.40441	7.67333	5.22	0.322
191.40855	-60.98132	4.69	1.049
191.57003	-68.10812	3.04	-0.178
191.59394	9.53968	5.65	0.989
191.59464	-56.48882	4.62	-0.150
191.66150	16.57769	5.12	1.346
191.69262	-33.31548	5.87	1.326
191.75961	5.95037	6.31	-0.013
191.80684	11.95809	6.11	0.122
191.82896	62.78115	5.88	0.215
191.88926	-6.30175	6.27	0.538
191.89310	66.79030	5.43	1.567
191.93026	-59.68876	1.25	-0.238
191.96422	3.57272	6.42	1.596
191.97352	-24.85166	6.43	-0.058
192.05973	13.55302	6.47	0.015
192.10941	-27.59738	5.65	0.947
192.16443	60.31982	5.83	0.467
192.17418	48.46684	6.25	0.195
192.19604	24.84023	6.29	0.703
192.22589	14.12258	5.71	0.024
192.27783	83.41783	5.92	0.015
192.30691	83.41290	5.38	0.033
192.32271	27.55238	5.76	0.051
192.43737	-71.98626	5.55	1.154
192.54475	37.51694	5.87	0.170
192.57207	22.86341	6.43	1.002
192.58119	-48.45954	6.26	0.046
192.67153	-33.99930	4.90	-0.031
192.74116	-52.78742	5.70	0.127
192.82490	-60.32979	5.71	0.344
192.84553	-10.33822	6.48	1.030
192.90371	3.05679	6.02	1.288
192.92467	27.54071	4.93	0.681
192.98721	-39.68043	5.99	-0.098
192.99123	-26.73827	6.14	0.232
193.02264	-48.09429	6.31	0.040
193.05107	17.07394	6.32	1.622
193.10246	-53.82993	6.26	1.106
193.11457	16.12250	6.29	0.173
193.26736	-54.95247	5.91	1.309
193.27878	-48.94331	4.33	1.344
193.29649	-3.55310	6.11	0.493
193.32393	21.24494	4.89	0.904
193.34123	-60.32849	5.75	0.295
193.35916	-40.17887	4.25	0.224
193.38378	19.48106	6.42	0.805
193.40885	-4.22466	6.45	1.094
193.45383	-60.37624	5.89	0.200
193.45714	12.41842	6.25	0.282
193.50729	55.95982	1.76	-0.022
193.55452	33.53448	6.25	0.207
193.57775	-11.64857	6.00	0.068
193.58818	-9.53899	4.77	1.590
193.64844	-57.17792	4.03	-0.180
193.65369	-57.16867	5.08	-0.089
193.66326	-59.14670	4.62	-0.153
193.73551	47.19672	5.75	1.451
193.74504	-85.12337	5.45	0.991
193.74381	-44.15197	5.89	0.633
193.83096	-42.91573	5.46	1.668
193.86895	65.43847	5.23	0.303
193.90087	3.39747	3.39	1.571
193.97185	-15.32702	6.18	-0.001
193.98806	-56.83581	5.34	0.010
194.00188	38.31491	5.61	0.337
194.00695	38.31838	2.89	-0.115
194.07318	54.09949	5.84	0.204
194.13204	-72.18521	5.93	1.115
194.24259	-54.58735	6.48	-0.042
194.26814	-51.19875	5.17	-0.066
194.28248	46.17679	6.11	1.012
194.30281	-12.06695	6.33	1.491
194.38804	-22.75350	6.31	1.069
194.57854	64.92553	6.44	1.150
194.69722	75.47251	6.00	1.030
194.73101	17.40945	4.76	1.568
194.91466	-3.81193	5.79	0.203
194.97946	66.59727	5.37	1.282
195.06863	30.78502	4.88	1.165
195.13607	-33.50527	6.01	0.386
195.14978	-3.36849	5.99	1.119
195.16130	18.37301	6.20	0.466
195.18208	56.36634	4.93	0.368
195.29006	17.12315	5.97	0.971
195.44553	63.61023	6.01	0.427
195.54415	10.95915	2.85	0.934
195.56776	-71.54886	3.61	1.190
195.77225	-71.47573	5.93	0.002
195.88878	-49.52726	4.83	0.029
195.94215	-20.58350	5.58	0.554
196.20098	-41.19632	6.24	1.649
196.20727	73.02498	6.43	0.218
196.27775	-47.11691	6.44	0.414
196.37824	-52.11566	6.43	1.690
196.43515	35.79890	5.20	-0.059
196.46778	45.26855	5.64	1.135
196.56960	-48.46329	4.71	-0.148
196.58850	21.15340	6.00	0.393
196.59418	22.61619	5.53	1.461
196.59535	62.04187	6.15	0.997
196.64617	-41.58844	5.59	1.050
196.72606	-35.86203	5.63	0.050
196.72766	-49.90625	4.27	-0.182
196.79471	27.62474	4.80	1.482
196.85123	-59.86051	5.98	0.435
196.90952	-53.45976	5.70	-0.061
196.97347	27.55596	6.20	1.363
196.97422	-10.74041	5.15	1.138
197.02980	-65.30602	5.44	-0.033
197.08503	-78.44603	6.43	0.008
197.11594	-67.79676	6.34	1.710
197.13528	-8.98439	5.57	1.178
197.26363	-23.11807	4.94	1.048
197.30182	10.02247	5.79	1.025
197.30933	-9.53810	6.32	1.017
197.41102	37.42315	6.01	1.169
197.42513	38.53389	6.25	-0.098
197.43866	-10.32933	5.95	1.490
197.44936	16.84861	5.91	1.450
197.48746	-5.53901	4.38	-0.008
197.49699	17.52943	4.32	0.455
197.51340	38.49898	5.91	0.294
197.74347	-52.56690	6.05	-0.079
197.78700	-42.23289	5.78	0.521
197.84673	-43.36855	5.24	1.049
197.91332	-26.55172	6.49	0.193
197.96434	-69.94202	5.92	0.415
197.96831	27.87818	4.23	0.572
197.97112	-63.30299	6.32	0.426
198.01327	-37.80302	4.85	0.693
198.01476	-16.19860	5.04	0.460
198.03504	24.25803	6.31	1.006
198.07332	-59.92058	4.58	-0.073
198.10597	80.47131	6.25	0.955
198.13717	11.55610	5.76	1.499
198.20335	-66.22675	5.91	0.048
198.21182	-42.69972	6.19	1.057
198.23215	-59.81660	6.18	0.592
198.30168	18.72701	6.10	1.201
198.34730	-50.69983	5.90	-0.011
198.36181	-18.82641	6.26	0.088
198.42892	40.15289	4.94	1.061
198.49033	-43.13911	6.16	1.366
198.54540	-19.93095	5.31	0.862
198.55037	-58.68394	5.91	1.084
198.56310	-59.10324	4.90	0.489
198.57222	-78.44745	5.84	1.040
198.63035	11.33166	5.64	1.514
198.68028	-48.95702	5.84	1.061
198.78941	-36.37141	6.17	0.968
198.81225	-67.89459	4.79	-0.078
198.85666	-69.67928	6.37	1.210
198.88313	40.85520	5.77	0.198
198.99488	-19.94310	5.21	1.011
199.05953	19.05173	6.46	0.972
199.11931	68.40800	6.20	-0.052
199.13442	19.78529	6.43	0.274
199.18712	-65.13826	6.06	0.431
199.19381	9.42416	5.19	0.585
199.21272	17.01718	6.49	0.926
199.22140	-31.50620	5.10	0.959
199.30422	-66.78344	4.86	1.480
199.30800	-43.97948	5.82	0.187
199.31512	13.67575	5.33	1.304
199.37439	-0.67606	6.36	0.260
199.38559	40.57261	4.72	0.306
199.40118	5.46987	4.78	1.638
199.56046	49.68206	5.14	-0.049
199.60131	-18.31120	4.74	0.709
199.61553	34.09830	5.81	1.366
199.64528	-51.28578	6.18	-0.001
199.70115	-79.97602	6.34	-0.027
199.73040	-23.17151	2.99	0.920
199.76771	35.12798	6.01	0.277
199.82910	-72.03560	6.04	1.341
200.07896	40.15055	5.60	1.204
200.14595	-59.77278	6.20	0.410
200.14924	-36.71229	2.75	0.068
200.15760	-52.74782	5.47	-0.125
200.17320	2.94229	6.26	0.102
200.20141	-55.80069	6.00	0.236
200.24042	-46.88001	5.76	1.106
200.37404	-19.48929	6.21	0.098
200.42351	2.08724	5.69	0.045
200.51634	43.90338	6.34	0.255
200.54037	5.15476	5.89	0.109
200.56786	-52.18296	5.81	0.072
200.65807	-60.98839	4.52	-0.141
200.71880	-47.94322	6.18	0.181
200.71911	-72.14671	6.06	0.049
200.75464	-17.73527	5.36	0.987
200.76083	-48.56279	6.37	-0.077
200.78596	-33.18988	6.17	1.653
200.82872	-4.92443	5.88	1.431
200.96715	-49.82281	6.48	0.959
200.97471	37.03392	6.10	1.637
200.98143	54.92536	2.23	0.057
200.98784	-20.92459	6.44	1.101
201.00201	-64.53567	4.52	0.822
201.12721	12.43183	6.44	1.062
201.13845	-5.16401	5.76	0.415
201.27783	23.85442	5.75	0.090
201.27966	-74.88782	5.04	1.110
201.29825	-11.16132	0.98	-0.235
201.30641	54.98796	3.99	0.169
201.30803	-64.48514	5.32	0.411
201.45959	-70.62725	5.65	-0.018
201.53236	-39.75511	5.11	1.181
201.53361	72.39148	5.82	1.652
201.54756	-1.19247	5.97	0.183
201.56918	46.02806	5.88	0.985
201.67987	-12.70766	5.27	1.477
201.73382	-41.49756	5.69	1.477
201.73668	78.64387	5.74	0.769
201.77661	-49.14371	6.31	0.003
201.81109	-40.16266	6.40	0.974
201.83607	-49.38129	6.27	-0.123
201.86318	-15.97358	4.76	1.096
201.99846	52.74559	6.34	0.259
202.00784	-26.40224	6.49	1.608
202.10754	13.77879	4.97	0.714
202.10934	40.72965	6.49	0.927
202.11286	59.94579	5.40	-0.010
202.19096	50.71857	6.42	0.404
202.19496	-69.62715	6.17	-0.014
202.28292	-64.67579	6.09	0.117
202.30417	10.81831	5.65	1.052
202.31215	-1.36443	6.42	1.122
202.35523	-51.16513	5.04	0.059
